"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 04 20:04:30 GMT 2021","Sun Jul 04 20:04:30 GMT 2021","403","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.UploadTest","com.template.project.web.tests.featureflow.UploadTest","uploadTest","uploadTest","This is a sample Test 4"
"passed","Sun Jul 04 20:04:32 GMT 2021","Sun Jul 04 20:04:32 GMT 2021","160","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest[A,A]",""
"passed","Sun Jul 04 20:04:37 GMT 2021","Sun Jul 04 20:04:37 GMT 2021","158","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.KeyPressTest","com.template.project.web.tests.featureflow.KeyPressTest","keyPressTest","keyPressTest[1,1]",""
"passed","Sun Jul 04 20:04:35 GMT 2021","Sun Jul 04 20:04:36 GMT 2021","719","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.CheckBoxTest","com.template.project.web.tests.featureflow.CheckBoxTest","checkboxTest","checkboxTest","This is a test for handling checkboxes"
"passed","Sun Jul 04 20:04:26 GMT 2021","Sun Jul 04 20:04:27 GMT 2021","1127","Complete Suite","Chrome Tests","com.template.project.web.tests.featureflow.BasicAuthTest","com.template.project.web.tests.featureflow.BasicAuthTest","navigateToEncodedURL","navigateToEncodedURL",""
